#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 -0.0135466 -0.017275 0.00811501 -0.000455559 51.3065 0.182642
422 1.22 0.0118 0.05 -0.0118986 -0.0144634 0.00416736 -0.00252019 40.4287 0.18264
422 1.22 0.0118 0.05 -0.0165702 -0.0173491 0.00232407 -0.00802459 39.5027 0.18263
422 1.22 0.0118 0.05 -0.013508 -0.0146642 0.00213801 -0.00599638 35.3424 0.182626
422 1.22 0.0118 0.05 0.0120875 0.0181059 -0.0101274 -0.00283864 -59.9494 0.182638
422 1.22 0.0118 0.05 -0.0137943 -0.0116083 -0.00190928 -0.0114396 14.8517 0.182646
422 1.22 0.0118 0.05 0.0137623 0.0117366 0.0015308 0.0110324 -14.1603 0.182623
422 1.22 0.0118 0.05 -0.0131227 -0.011591 0.00117963 -0.00770346 17.9103 0.182624
422 1.22 0.0118 0.05 -0.0159416 -0.0175582 0.00465314 -0.00503953 43.5852 0.182627
422 1.22 0.0118 0.05 0.0126283 0.0142586 -0.00261523 0.00525966 -34.1549 0.182624
422 1.22 0.0118 0.05 -0.0153909 -0.0198808 0.0079603 9.47641e-006 60.1549 0.182636
422 1.22 0.0118 0.05 -0.0119171 -0.00797332 -0.00442124 -0.012875 0.604415 0.182627
422 1.22 0.0118 0.05 -0.0118254 -0.0110254 0.0026937 -0.00639391 19.8385 0.182626
422 1.22 0.0118 0.05 -0.0144825 -0.0155358 0.00467941 -0.00496825 36.7009 0.182623
422 1.22 0.0118 0.05 0.0121132 0.00868197 0.00374585 0.0123423 -2.56918 0.182642
422 1.22 0.0118 0.05 0.0154667 0.0153163 -0.00197428 0.00850444 -29.2833 0.182639
422 1.22 0.0118 0.05 0.011802 0.00914112 0.00307474 0.0117243 -6.37704 0.182632
422 1.22 0.0118 0.05 -0.0165226 -0.0195948 0.0065564 -0.00295604 53.8066 0.182627
422 1.22 0.0118 0.05 0.0129598 0.0161046 -0.00705579 0.00152358 -44.4307 0.182634
422 1.22 0.0118 0.05 -0.0135389 -0.0125024 0.00112201 -0.00805961 21.8512 0.182627
422 1.22 0.0118 0.05 -0.0119803 -0.0111133 -0.000935208 -0.0091597 19.6181 0.182631
422 1.22 0.0118 0.05 -0.0122629 -0.00996275 0.000524811 -0.00794849 11.4338 0.182624
422 1.22 0.0118 0.05 -0.0121177 -0.010901 0.00247013 -0.00641211 17.8119 0.182626
422 1.22 0.0118 0.05 -0.0154827 -0.0167196 0.00473626 -0.00479096 40.1025 0.182628
422 1.22 0.0118 0.05 -0.0154552 -0.0147605 0.000647081 -0.00943155 27.9958 0.182623
422 1.22 0.0118 0.05 0.013441 0.0115801 0.00204924 0.0112573 -14.537 0.182625
422 1.22 0.0118 0.05 -0.0133643 -0.0111356 -0.000221446 -0.00933241 14.1101 0.182625
422 1.22 0.0118 0.05 0.0136547 0.0187027 -0.00881806 -0.00059005 -56.8416 0.182633
422 1.22 0.0118 0.05 -0.0127191 -0.0118988 0.00277111 -0.00648448 21.5262 0.182626
