# X[mm] xp[rad] Y[mm] yp[rad]
2.4649625136e+00 -8.8195920385e+01 -1.7915238871e+00 7.9393591975e+01
1.7842864274e+00 -1.8824316738e+01 -4.2513786626e+00 5.4561591131e+01
-2.0348487749e+00 4.9126573784e+01 1.6222110445e+00 -3.9747893990e+01
-1.1799677426e+00 -1.0346459478e+01 5.4741708841e-01 -8.8184098089e+00
-2.1782543614e+00 1.1430423861e+01 1.5931760510e+00 -6.2645314223e+01
-2.9648166470e+00 7.5337141043e+01 2.3261389936e+00 -6.8097489368e+01
-2.0961780673e+00 8.3435400199e+01 1.6829033464e+00 -1.0081415045e+02
-1.7562689073e+00 8.4927497992e+00 5.6373291854e-01 -1.1376698828e+01
-1.2270510236e+00 3.8819222211e+01 -3.0642722611e-01 1.7827237351e+00
-2.7319977352e+00 1.0581828028e+02 2.2729581179e+00 -8.5178713526e+01
2.4392188521e+00 -8.6993042757e+01 -1.8704393582e+00 7.9846025367e+01
-2.9533241101e+00 7.4862424290e+01 1.8564750557e+00 -7.8727214855e+01
4.1687220568e-01 -1.8112461758e+01 1.4903869581e+00 -2.5416951722e+01
2.3958165530e+00 -1.6989358138e+01 -1.2787136424e+00 1.9228032409e+01
5.7665791666e-01 -4.9151302077e+00 -2.0487110960e+00 2.3931556097e+01
-2.5350714900e+00 2.9763589620e+01 1.4022022052e+00 -4.4905317641e+01
1.2496657805e+00 -6.4332497966e+01 -1.1374056392e+00 4.5386289573e+01
3.9314712958e+00 -4.7594030218e+01 -2.0884336275e+00 3.7265635487e+01
-2.7033180722e+00 9.2822909474e+01 1.9399482564e+00 -9.8705507871e+01
-2.8643428556e+00 8.7463018762e+01 2.4359236385e+00 -8.3382346657e+01
2.5487665226e+00 -9.6753205739e+01 -2.2659716863e+00 9.9017202575e+01
4.3483896091e+00 -4.8110011833e+01 -3.8551249465e+00 7.0226167540e+01
3.4038954326e-01 -7.5128488853e+00 -1.0305970140e-01 3.1943908324e+00
6.5229563784e-01 -1.8281516001e-01 5.0585644495e-01 -1.3387732218e+01
2.9473854575e+00 -5.6247567936e+01 -9.3630983963e-01 2.8964563995e+01
1.5706439213e+00 -4.8093001469e+01 -5.1627890941e-01 2.7024992083e+01
-3.0766945664e+00 7.4622893467e+01 2.1895347746e+00 -6.7870020108e+01
-1.9123342988e+00 3.2600578311e+01 -5.1564877993e-01 -4.5447263492e-01
1.6336835517e+00 -5.4754854564e+01 -1.2311401793e+00 4.8199064784e+01
-1.7412352248e+00 3.3531971044e+01 8.5863798660e-01 -2.1189444989e+01
-2.7323485173e+00 3.7721899824e+01 1.4060483679e+00 -4.9426410637e+01
-1.1125684028e+00 3.9652057705e+01 3.6612045941e-02 -5.0535771399e+00
2.7656519411e-03 -2.7266731961e+01 -4.1342583166e-01 2.0270659616e+01
-5.3434765322e-01 -1.6741620676e+01 -7.4783128016e-02 1.1231932203e+01
-1.8701098391e+00 4.8937657429e+01 1.7688648166e+00 -3.9507177797e+01
-2.2860151385e+00 2.0212188763e+01 1.1458453657e+00 -3.2712612789e+01
1.8202976685e-01 4.6594620243e+00 -6.7256505108e-01 8.5098212359e+00
-2.7880730196e+00 6.6734656850e+01 2.2600130013e+00 -6.2027745825e+01
-2.4581693323e+00 4.0024671692e+01 1.2845047292e+00 -3.7466525181e+01
4.4546161987e+00 -5.7494992000e+01 -4.2659079657e+00 8.5995365273e+01
-2.6171251588e+00 3.2034112807e+01 1.2866916317e+00 -4.0740266827e+01
-3.4463729107e+00 8.8071988700e+01 4.4144720870e-01 -1.4549712473e+01
2.1997477264e+00 -9.2801261156e+01 -1.9792069825e+00 8.9163225755e+01
2.2062840736e+00 -7.6291518800e+01 -2.0138442221e+00 7.9353234041e+01
2.2598814274e+00 -5.4225292946e+00 -4.3892851516e+00 6.3564470767e+01
1.7614867175e-02 -1.4827409640e+01 5.6071093500e-01 -1.0019859622e+01
2.6895732362e+00 -7.8099003155e+01 -1.9969498924e+00 7.4816051685e+01
-2.8285750197e+00 7.9131518843e+01 2.1160687053e+00 -8.7266637148e+01
3.6095815227e+00 -8.1012749249e+01 -2.2892381338e+00 7.2316927380e+01
-2.5214229826e+00 5.1223968060e+01 1.2248560160e+00 -3.2654389023e+01
3.1327465166e+00 -2.1572942021e+01 -3.7732175854e+00 5.7834127969e+01
-6.8375647943e-01 -4.5782207954e+00 1.1179118050e+00 -2.4790124060e+01
-1.0689156544e+00 2.0252084019e+01 -3.7564176997e-01 -2.1777834265e+00
4.2278730978e+00 -6.2837584879e+01 -3.2495944144e+00 7.2961818908e+01
