# X[mm] xp[mrad] Y[mm] yp[mrad]
3.1547622990e-01 6.1655945450e+01 -2.7214322265e-01 -4.9886656394e+01
-1.2457783326e+00 -1.1369289682e+01 1.3608532839e-01 -1.2925241106e+01
-1.5047968771e+00 1.4832970083e+01 -9.9608783968e-02 -7.9166932008e+01
4.4704250750e-01 9.2485814394e+01 -6.7628541589e-01 -8.1389385398e+01
-5.0881491389e-01 3.8559332404e+01 4.5502885952e-02 -1.1617483687e+01
-1.0845689636e+00 1.2393287254e+01 5.9611296595e-02 -1.6023664310e+01
1.0184149107e+00 4.9744183227e+01 -1.6967853852e-01 1.5465857232e+00
9.4512189171e-01 1.2641669754e+02 -6.3487480407e-01 -9.5524929786e+01
-4.9354843139e-01 -1.0522203205e+02 7.0383190286e-01 9.2985621692e+01
-3.7061169053e-01 9.0638862721e+01 -5.6740725475e-01 -9.1899153081e+01
5.3002934699e-01 -1.0176223061e+01 -2.2586959173e-01 1.1626618101e+01
9.5792700423e-01 -2.1650587285e+01 1.1372226446e-02 2.3446298204e+01
-2.3468327579e-01 2.7379279316e+01 2.8354079758e-01 -8.1946668625e+00
-1.0704755620e+00 3.8174961531e+01 -2.8490163263e-01 -5.7192194604e+01
-1.0102627353e+00 -7.9518546707e+01 4.9387650121e-01 5.6338398602e+01
7.4439350132e-01 -5.9569558704e+01 1.8163578931e-01 4.4913672090e+01
3.3784584268e-02 1.0992171228e+02 -7.2063904572e-01 -1.1022061542e+02
5.3392979351e-01 1.0567221606e+02 -7.0902931460e-01 -9.6458347417e+01
-4.9563402472e-01 -1.1475936193e+02 7.0403852232e-01 1.1024750607e+02
1.0988321698e+00 -5.6627119296e+01 3.4975930976e-01 8.0373785534e+01
-3.2239545244e-01 4.8618121214e+01 -1.5911582587e-01 -3.3789703767e+01
4.9062860961e-01 -7.6887911931e-01 -2.9566213305e-01 -1.7369854272e+01
8.6241007000e-02 -5.8178016285e+01 3.8717681835e-01 2.4748067012e+01
-1.4666869745e-01 -4.7825258252e+01 3.1637680808e-01 2.5066845078e+01
2.2378369711e-01 9.1534537768e+01 -6.7464689207e-01 -8.0919350208e+01
1.9153109402e-01 -5.2969547928e+00 -3.0890629971e-01 2.9044945754e+01
-5.0597198944e-01 -6.8238336964e+01 6.0065426510e-01 6.0130101630e+01
-3.8798619711e-01 5.7007279701e+01 -2.0923210129e-01 -2.9406494555e+01
-1.1475253547e+00 4.7898655449e+01 -1.9784756755e-01 -6.2410651912e+01
1.2552347943e+00 5.0974870681e+01 -2.7461060958e-01 -7.4551361667e+00
-9.1742940982e-01 -3.3443375270e+01 3.5559035771e-01 2.5400601656e+01
-9.6911281916e-01 -1.9825998044e+01 3.0603207464e-01 1.3443380341e+01
8.2551624756e-01 6.1484914290e+01 -4.8484981009e-01 -4.9849366755e+01
-1.1854423507e+00 2.6884505124e+01 -8.1944538871e-02 -4.3195218502e+01
-8.2042702603e-01 -1.3248181760e+02 6.1692179767e-01 1.0245054533e+02
4.2495987340e-01 8.2530508657e+01 -6.5690874347e-01 -7.5269433048e+01
5.2977241097e-01 -3.9253283749e+01 5.8295767977e-02 3.3101968068e+01
9.6556537628e-01 -6.6808005995e+01 4.4904295612e-01 9.6448135308e+01
-1.0925108768e+00 4.1235848265e+01 -2.0820525173e-01 -5.2286436399e+01
-9.9164917630e-02 -3.2867900570e+01 2.0213599150e-01 1.6126897432e+01
-6.8192630743e-01 -1.1122536975e+02 6.9607854309e-01 1.0186452754e+02
-4.9823172064e-01 -9.2752340848e+01 7.0139142476e-01 9.3494710280e+01
1.5033025420e+00 -2.1228764332e+00 1.1544208294e-01 7.3164033160e+01
-5.4968406431e-01 -1.8425337061e+01 5.4237865530e-02 -1.3199526682e+01
-2.7434987998e-01 -9.5213060313e+01 6.9694798132e-01 8.8392889315e+01
-8.0152531487e-02 9.5208858522e+01 -6.7030280344e-01 -1.0060942151e+02
1.0298443088e-01 -9.8574024519e+01 6.3489074528e-01 8.4741063660e+01
-5.7612746634e-02 3.5412317800e+01 -2.6514163431e-01 9.5741496767e+00
1.2974726515e+00 -2.3860628259e+01 1.6193941594e-01 6.7361601287e+01
-6.9489770376e-01 -4.9908660844e+00 -1.9239986897e-03 -3.2734708169e+01
-1.3855959806e-01 7.0566948060e+01 -1.9427341186e-01 1.2613991639e-01
6.9155609202e-01 -7.5743496108e+01 4.9475224695e-01 8.4351944651e+01
-4.5501087365e-01 -1.0753754565e+02 7.1098833286e-01 9.8810754165e+01
2.3342219775e-01 -8.8066115752e+01 4.5121119460e-01 1.1315549583e+02
-8.6360129239e-01 -1.2021702058e+02 6.0024610381e-01 9.3264766113e+01
1.3418524979e+00 4.9017640912e+01 -2.3803566135e-01 -4.4012471019e-01
-1.5414201792e+00 -6.9095030245e+00 1.6776115645e-02 -5.1435152000e+01
-9.9950266508e-01 -4.7139779453e+01 4.0383013963e-01 3.1032586445e+01
-2.2425296154e-01 9.6851875734e+01 -6.1291220788e-01 -9.0496232896e+01
-6.4021091402e-01 -4.5759516558e-01 2.2653710760e-01 -1.1870689154e+01
-2.8583196981e-02 -7.7011251935e+01 6.1374277181e-01 7.0402795016e+01
1.8407735317e-01 -4.2473428300e+01 -1.5342161627e-01 1.0528685378e+01
7.0452598865e-01 -7.6284019265e+01 5.0514744566e-01 9.4095296550e+01
-4.7243381156e-01 1.0107004508e+02 -5.9093967104e-01 -1.0917226988e+02
1.1766194079e+00 -1.1083738261e+01 3.3043303422e-02 3.8292045794e+01
-1.3820290609e+00 1.6082185801e+01 -7.5030515863e-02 -5.9307142625e+01
-1.2110669116e-01 8.9998328398e+01 -6.1981037282e-01 -8.0302862542e+01
6.6658854506e-02 7.8805779573e+01 -1.6372558143e-01 1.2692685180e+01
3.7941254805e-01 1.0685316986e+02 -5.0717722173e-01 -9.5922994002e+01
7.4785848614e-01 1.1029874745e+02 -7.1953621305e-01 -8.8456376216e+01
-6.8472543439e-01 8.6566488915e+01 -5.3116661136e-01 -1.0612136305e+02
1.3271105698e+00 7.1342672277e+01 -3.3803798287e-01 -1.9009738531e+01
1.8829691029e-01 -6.2877466281e+01 -4.4809749583e-02 1.5657664496e+01
1.1028455263e+00 5.7168726260e+01 -3.3574758270e-01 -2.1993997113e+01
8.9621814731e-02 -7.1926365085e+01 5.3114327583e-01 4.6861699090e+01
1.3552773799e+00 5.7346599757e+01 -1.9815158871e-01 6.1271207454e+00
7.5219196804e-01 -7.4560433222e+01 5.0694525368e-01 9.5299044870e+01
3.2321765265e-01 -5.9752421176e+01 -1.7752539065e-01 6.8069919714e+01
1.1105267614e+00 1.0014454420e+02 -5.2742235212e-01 -6.3133342914e+01
-4.4999490053e-01 -3.2372089707e+01 1.1928242032e-01 6.6874208532e+00
-1.1969046326e+00 -1.0819101424e+02 5.4856332941e-01 6.7294555326e+01
-1.2086016649e+00 -2.8296158802e+01 8.9715842594e-02 -2.9405036844e+01
2.6358430069e-03 -1.0232522947e+02 6.9357027571e-01 1.1063217436e+02
-5.6404444538e-01 -9.3982812486e+01 6.8281963779e-01 8.2037419679e+01
5.2380720651e-01 5.4017390099e+01 -5.3129347847e-01 -2.7267856422e+01
1.1823297507e+00 6.6769844603e+01 -3.6742699152e-01 -2.8438197426e+01
-1.2974986144e+00 -9.2271583230e+00 5.4840825701e-03 -5.2475443046e+01
1.2436015864e+00 -2.1585485400e+01 2.1674339728e-01 9.5385528105e+01
6.7616793426e-02 9.9495451052e+01 -6.9371958596e-01 -1.0537840932e+02
-8.6721324279e-01 -1.2948511381e+02 6.4562838431e-01 1.0504054879e+02
1.0310021573e+00 1.2337491353e+02 -6.0432627937e-01 -8.5829185804e+01
-6.1392052985e-01 9.4108484474e+00 3.8373312558e-01 -7.3058376094e+01
4.3114820768e-01 -7.0715790333e+00 -2.2643778886e-01 8.5627162408e+01
-1.1408903650e+00 3.0634439610e+01 -8.2848970240e-02 -4.0915607051e+01
1.2372610049e+00 1.0219205637e+02 -4.7046522658e-01 -5.4229106855e+01
-4.8072786044e-01 -9.7478601368e+01 6.9429310360e-01 8.9540580837e+01
6.2483046962e-01 1.1263334552e+02 -6.6298434141e-01 -1.0097252524e+02
-5.8148337766e-01 -1.0310436315e+02 7.0477982248e-01 9.8994766972e+01
1.2158979375e+00 -3.0550982358e+01 1.5436397252e-01 5.8382475389e+01
-5.6929258335e-01 -8.9393603007e+01 6.7334814099e-01 8.5952513582e+01
1.3556042351e+00 8.0064090183e+01 -3.7337878445e-01 -2.4783148414e+01
