# x[mm] y[mm]
3.0944636437e+00 1.0251336273e+01
8.7044698309e-01 5.8169839523e-01
-1.3048565190e+00 2.2743354357e-01
1.6573371636e+00 -8.7401072580e-02
2.7162555569e+00 -8.8544408326e+00
-2.4472157684e+00 -5.1862347414e-01
-2.2382738669e+00 6.7718429285e-01
8.7563311943e+00 -1.0794883036e+01
-8.2471415940e+00 1.0800294447e+00
8.4484131812e+00 7.0168747789e+00
1.2672236264e+00 -9.7472861119e+00
2.9138274743e+00 -1.6819847125e+00
-9.6506646154e+00 -6.2320965548e+00
9.9661095823e+00 6.6266390233e+00
1.1750555877e+00 -4.0187059258e-01
3.4676788195e-01 -9.0911833299e-01
9.0342372731e+00 -8.4619433538e+00
4.6447692330e+00 8.1837248056e+00
3.1003725883e+00 -9.5708659544e+00
-7.4795092381e+00 8.0709683281e+00
-9.2646126746e+00 8.0830990452e+00
7.1894077684e-01 2.4746481310e+00
6.4745598343e+00 -1.0541966664e+01
2.6520347279e+00 -4.2465950128e+00
6.3136944976e+00 -8.6768065669e+00
-7.8209556098e+00 1.0199175660e+01
1.2516064179e+00 -1.0568895144e+01
-3.6617834335e+00 3.9434168048e+00
3.6013496533e+00 6.8329479172e+00
8.4916325063e+00 3.7841311655e+00
2.0146561703e+00 -2.8895600295e+00
-4.4990596258e+00 6.2162483599e+00
-3.3844382744e+00 -1.0152776953e+01
-3.5977622307e+00 6.4713113044e+00
6.7123614622e+00 -3.4451120543e+00
-2.0436980151e+00 2.3595915399e+00
-2.6678347673e+00 -4.8773829696e+00
-1.0646690212e+01 1.1216489678e+01
1.0852351837e+01 -4.3777564877e+00
1.1360399477e+01 -9.4082413549e+00
-7.1047953432e+00 5.7939231108e-01
-3.7077387003e+00 -1.0713623667e+01
-6.4885440822e+00 7.1002908126e+00
8.2432754438e-01 -6.3169948804e+00
6.2100886659e+00 4.6996871437e+00
-1.2489273398e+00 -6.9098695387e+00
-1.0082823577e+01 -3.7655304559e+00
2.1538725151e+00 -5.1806236456e+00
6.3930840905e+00 5.3823965098e+00
-4.8598601324e+00 -2.1630388127e+00
-5.8995790462e+00 1.0130043949e+01
1.1159596767e+01 -6.6089175346e+00
-7.7242756197e+00 -2.1018906413e+00
9.2047199906e+00 -1.1781440938e+01
9.8087035084e+00 -2.3673507041e+00
-1.1677886538e+01 -5.1109494437e+00
-3.0449855383e+00 4.3324789720e+00
4.6648153343e+00 2.2198168653e+00
-8.6065285615e+00 1.0003029767e+01
-3.3045724493e-01 8.6828620973e+00
-5.0529158856e+00 -5.9179026392e+00
1.1047581251e+01 2.6656140870e+00
2.3020131950e+00 1.5683884351e-01
7.4792116304e+00 1.1917107272e+00
-6.8086664376e+00 3.2197927487e+00
-9.3842477437e-04 -1.1786667962e+01
-9.7443091980e+00 1.0489165511e+01
3.8448518180e+00 -1.1076837531e+01
5.0673543904e+00 7.4189419112e+00
-1.8609417844e+00 1.2086048189e+01
-5.3494468405e+00 8.7807693867e+00
8.3071731783e-01 -1.0231357534e+01
4.1358795092e+00 -1.7623912295e+00
-1.1946626568e+00 -1.3167619697e+00
-8.3853020611e+00 3.7914414608e+00
7.9454437439e+00 -9.9289584286e+00
6.4390844752e+00 6.5455174259e+00
4.7632334013e+00 4.5836261063e+00
2.5438854898e+00 1.3598759173e+00
-6.6836411375e+00 8.7463584355e+00
7.6016958710e+00 -9.7234033193e+00
-8.7719905003e+00 -4.0730330312e+00
7.7476958712e+00 7.3865378442e+00
4.1179100779e+00 -1.0259376406e+01
-3.9140511611e+00 4.0359435308e+00
-4.4443358052e+00 1.1075565265e+01
2.7633473483e+00 -8.2841615990e+00
-6.6607151725e+00 1.1809461451e+00
-9.7954293228e+00 4.6145623256e+00
-8.2406366610e-01 1.0416882483e+01
-3.0082529983e+00 -4.7040006589e+00
-8.6790429204e+00 1.1923167000e+01
-2.3164238780e+00 1.1927509239e+01
-9.2546837115e+00 -3.7349138875e+00
5.1168673752e+00 -2.5512314840e+00
1.9619938499e+00 1.0497423079e+00
-7.6273500220e+00 -2.7209202220e+00
-3.6402484159e+00 9.7591569637e+00
1.7053358593e+00 -8.4963846152e+00
-9.3329074792e+00 1.0262345898e+01
5.0188813545e+00 8.2605219624e-01
-6.9172105914e+00 -4.0242185649e+00
-1.6328516304e+00 7.0904531599e+00
3.7182408032e+00 -8.7883897690e+00
2.2864816171e+00 -4.0812104610e+00
-2.2452492540e-01 1.1777499662e+00
-7.0385840728e+00 -2.3644971467e+00
-2.6586976162e+00 -2.1552627143e+00
-4.7969121420e-02 -3.3848414888e+00
-2.3585832789e+00 1.0351316841e+01
1.1039478425e+01 -2.9150600928e+00
7.2010659655e+00 5.1863653827e+00
-1.9685350395e+00 6.5645917444e+00
2.9070921249e-01 -1.7279369812e-01
-8.4593678861e+00 5.9092606193e+00
-8.6864371541e+00 1.5861824042e+00
8.8233967853e+00 -1.0420130632e+01
-7.6656671892e+00 1.0660003318e+01
2.6103358726e+00 7.5200150422e+00
-5.1689386407e+00 -9.1453448963e+00
5.1642274727e+00 -1.2927012334e+01
7.1295716223e+00 1.9814987424e+00
