# X[mm] xp[rad] Y[mm] yp[rad]
-6.3025973224e-01 -4.6038960496e+00 1.3124449580e+00 -2.7340621569e+01
-8.4526918490e-01 6.1720162989e+00 1.6061880430e-01 4.4768236544e+00
3.9261206847e+00 -5.7601374955e+01 -3.4864210833e+00 7.8906296538e+01
2.3715629632e+00 -9.1071459724e+01 -2.0136529886e+00 9.1379784868e+01
3.1183310907e+00 -4.2700060713e+01 -4.3915619754e-01 7.6616195386e+00
2.0260457167e+00 -1.0500970611e+02 -1.7111158613e+00 8.7009427934e+01
-1.4151580470e+00 4.4144862828e+01 7.6504856590e-03 -3.2209130551e+00
-1.5938246422e+00 -1.2209371610e+01 1.1334896454e+00 -3.5425950912e+01
4.6719314915e-01 -4.4861432674e+01 -6.2104879843e-01 2.7072108541e+01
-2.8523202941e+00 7.6815356546e+01 1.9336617734e+00 -8.2387466898e+01
-1.8834575565e+00 3.8592553956e+01 6.8028382891e-01 -1.8904173518e+01
2.5535695769e+00 -5.9834193355e+01 -1.8767472080e+00 5.9062255551e+01
3.7053825992e-01 -1.5172485723e+01 1.0951707993e+00 -1.1337967380e+01
4.0282482906e+00 -6.0941300540e+01 -3.9284389286e+00 8.9858436890e+01
3.5259630261e-01 -2.4179154770e+00 -3.7081869591e-01 5.8875980970e+00
1.6371432574e+00 -1.7278184945e+00 -2.1583821582e+00 3.1271370908e+01
-1.9266276955e+00 4.9081626983e+00 1.2518565501e+00 -4.2567772970e+01
-2.9429769038e+00 7.0054465654e+01 2.0504216297e+00 -7.0987525310e+01
2.6313100254e-01 -3.7430414847e+00 -2.2682475486e-01 4.3913532566e+00
-2.2858845594e+00 9.3445953341e+01 1.8824461781e+00 -8.6340588555e+01
-2.9296353142e+00 9.3273400438e+01 2.5191280953e+00 -8.4499490262e+01
-2.4255534128e+00 6.8072834249e+01 1.4520508009e+00 -9.6865987161e+01
-2.3634345764e+00 6.1671095675e+01 9.2171293751e-01 -1.9775991847e+01
2.0944474119e+00 -2.6160713934e+01 -4.1163114840e-01 3.6773127354e+00
-1.9475362083e+00 5.1982116746e+01 9.6063335108e-01 -2.0395981678e+01
2.5361518069e+00 -5.0951809209e+01 -1.1422642483e+00 3.8353675722e+01
-1.7731880853e+00 4.9890797575e+01 -3.5329282837e-01 2.3779077830e+00
4.0497320995e+00 -5.9538928648e+01 -4.0445177923e+00 9.1214281732e+01
2.1777754572e+00 -2.5182526473e+01 -1.5953960523e+00 2.4068080872e+01
-2.9345432679e+00 8.6933205550e+01 2.2775654757e+00 -5.9462992552e+01
8.3251553160e-01 -2.8266678053e+01 2.7973342102e-02 2.9095621944e+00
1.3128641784e+00 -9.4041795440e+01 -1.1115000100e+00 6.2530235897e+01
-4.9073295737e-01 -2.7809640118e+01 9.4617946141e-01 -2.0574716224e+01
1.2675000674e+00 -4.1003872806e+01 -1.1958596326e-01 1.4885271017e+01
2.0063132951e+00 -7.8333377463e+01 -1.7133225535e+00 7.4189164414e+01
-2.0711483963e+00 4.0792408346e+01 1.1914266421e+00 -2.7275475817e+01
-2.2413746513e+00 5.9593013367e+01 1.2955351970e+00 -2.7116981331e+01
-1.2267140337e+00 -1.2308831448e+01 1.2740751885e+00 -3.7329234903e+01
2.8683274416e+00 -2.0908864459e+01 -5.4290394430e+00 8.6043439635e+01
-2.4647114220e+00 8.4012734218e+01 2.0783304572e+00 -9.6856177501e+01
4.0821251448e+00 -6.2230889511e+01 -2.8067409634e+00 5.9926258164e+01
-2.7457987281e+00 1.0688833655e+02 2.2301667865e+00 -8.1935522906e+01
1.6021084915e+00 -1.6544321784e+01 -2.2216611361e+00 2.5136656297e+01
8.5083702471e-01 1.3411012913e+00 -1.4945604476e+00 1.7752238807e+01
-2.0077830143e+00 1.2992575188e+01 1.0222806829e+00 -2.9886820281e+01
-3.0162289841e+00 8.8329619895e+01 2.0473799615e+00 -5.1362675331e+01
2.2148544259e+00 -8.1670990491e+01 -1.9229404624e+00 8.0962823574e+01
-2.4103287175e+00 9.7729860777e+01 2.1735378994e+00 -9.3483338042e+01
2.0886070852e+00 -8.8994875008e+01 -1.9828198381e+00 9.1110413408e+01
2.8555276057e+00 -1.8380207098e+01 -3.2123271452e+00 4.9531872101e+01
1.9620065023e+00 -7.6614500236e+01 -1.8837302991e+00 7.6377739032e+01
-2.6479426902e+00 6.8300006309e+01 1.1590518540e+00 -2.4906978076e+01
7.7420556326e-01 -2.8010775591e+01 3.1598528335e-02 1.0552611089e+01
3.3261262387e+00 -5.4319231714e+01 -3.8071618726e-01 5.2605267729e+00
1.8014454708e+00 -3.2269954920e+01 2.6818252146e-01 3.9040737636e+00
-4.8217392393e-01 -2.3342096797e+01 1.0575217379e+00 -2.3064858811e+01
-7.9809509949e-01 1.1338783726e+01 1.3622471566e-01 4.3448059095e+00
8.4558340456e-01 -1.4379061119e+01 -8.8084932133e-01 1.6707673317e+01
-2.6265567039e+00 3.6375551634e+01 1.2904367356e+00 -6.2005403903e+01
3.0379710489e+00 -5.9637080271e+01 -3.1880902298e+00 6.9529471062e+01
-2.8232204185e+00 9.6574324210e+01 2.3215765456e+00 -7.3224122497e+01
-8.5465846649e-01 -2.0826394697e+01 3.2097546290e-01 -2.8753338488e+00
2.8769893841e+00 -4.5776469143e+01 -8.4669850749e-01 2.3557175358e+01
1.8875001925e+00 -1.0164466591e+02 -1.6652669428e+00 8.3864183981e+01
-2.6382934749e+00 1.0915925609e+02 2.2033270508e+00 -8.8402327697e+01
1.1580340031e-01 3.7715769771e-01 -4.1840380197e+00 5.6182155369e+01
2.2657428339e+00 -4.3636816320e+01 -3.7431598985e-01 1.9061137315e+01
-2.5297926964e+00 4.4113256693e+01 1.6412124255e+00 -7.2824209033e+01
-2.6255715398e+00 7.0346211641e+01 1.7542173267e+00 -3.9363413712e+01
-1.4205631009e+00 -4.5920930123e+00 7.0696658033e-01 -1.6195749581e+01
3.9679207432e+00 -4.2369967864e+01 -3.2730975975e+00 5.8152816483e+01
3.9348979406e+00 -4.9900494484e+01 -4.1381474328e+00 8.3754453906e+01
