# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
2.7566265060e-02 5.5957460133e+00 6.6803301661e+00 1.4857000000e+04 6.3888677055e+01 1.1698024692e+00 1.6701135879e+00 1.8548525420e+03 1.3353870941e+00 1.0658575763e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.8819277108e-02 5.5877462970e+00 6.6749900275e+00 1.4857000000e+04 6.3888677055e+01 1.1664598220e+00 1.6674445796e+00 1.9391640212e+03 1.3324059854e+00 1.0642548671e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.0072289157e-02 5.5797530283e+00 6.6696536587e+00 1.4857000000e+04 6.3888677055e+01 1.1631246455e+00 1.6647795874e+00 2.0234755004e+03 1.3294248768e+00 1.0626521580e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.1325301205e-02 5.5717662351e+00 6.6643210690e+00 1.4857000000e+04 6.3888677055e+01 1.1597969397e+00 1.6621186111e+00 2.1077869796e+03 1.3264437682e+00 1.0610494488e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.2578313253e-02 5.5637859452e+00 6.6589922673e+00 1.4857000000e+04 6.3888677055e+01 1.1564767046e+00 1.6594616510e+00 2.1920984588e+03 1.3234626596e+00 1.0594467396e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.3831325301e-02 5.5558121866e+00 6.6536672627e+00 1.4857000000e+04 6.3888677055e+01 1.1531639401e+00 1.6568087068e+00 2.2764099379e+03 1.3204815509e+00 1.0578440304e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.5084337349e-02 5.5478449875e+00 6.6483460644e+00 1.4857000000e+04 6.3888677055e+01 1.1498586463e+00 1.6541597788e+00 2.3607214171e+03 1.3175004423e+00 1.0562413212e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.6337349398e-02 5.5398843762e+00 6.6430286815e+00 1.4857000000e+04 6.3888677055e+01 1.1465608232e+00 1.6515148667e+00 2.4450328963e+03 1.3145193337e+00 1.0546386120e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.7590361446e-02 5.5319303812e+00 6.6377151232e+00 1.4857000000e+04 6.3888677055e+01 1.1432704708e+00 1.6488739707e+00 2.5293443755e+03 1.3115382250e+00 1.0530359028e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.8843373494e-02 5.5239830309e+00 6.6324053987e+00 1.4857000000e+04 6.3888677055e+01 1.1399875890e+00 1.6462370907e+00 2.6136558547e+03 1.3085571164e+00 1.0514331936e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
