# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
5.0300000000e-01 3.4236598357e+00 5.0270394323e+00 1.4857000000e+04 6.3888677055e+01 4.3784911632e-01 9.4573562514e-01 3.3845384081e+04 2.0425702165e-01 4.5773731490e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0350000000e-01 3.4228637038e+00 5.0258236043e+00 1.4857000000e+04 6.3888677055e+01 4.3764549781e-01 9.4527816813e-01 3.3879027604e+04 2.0306744465e-01 4.5709777229e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0400000000e-01 3.4220720384e+00 5.0246091828e+00 1.4857000000e+04 6.3888677055e+01 4.3744306886e-01 9.4482135061e-01 3.3912671127e+04 2.0187786765e-01 4.5645822968e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0450000000e-01 3.4212848427e+00 5.0233961685e+00 1.4857000000e+04 6.3888677055e+01 4.3724182949e-01 9.4436517256e-01 3.3946314650e+04 2.0068829065e-01 4.5581868707e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0500000000e-01 3.4205021197e+00 5.0221845627e+00 1.4857000000e+04 6.3888677055e+01 4.3704177968e-01 9.4390963400e-01 3.3979958173e+04 1.9949871365e-01 4.5517914447e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0550000000e-01 3.4197238726e+00 5.0209743663e+00 1.4857000000e+04 6.3888677055e+01 4.3684291944e-01 9.4345473491e-01 3.4013601695e+04 1.9830913665e-01 4.5453960186e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0600000000e-01 3.4189501043e+00 5.0197655802e+00 1.4857000000e+04 6.3888677055e+01 4.3664524877e-01 9.4300047531e-01 3.4047245218e+04 1.9711955965e-01 4.5390005925e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0650000000e-01 3.4181808179e+00 5.0185582056e+00 1.4857000000e+04 6.3888677055e+01 4.3644876767e-01 9.4254685519e-01 3.4080888741e+04 1.9592998265e-01 4.5326051664e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0700000000e-01 3.4174160165e+00 5.0173522435e+00 1.4857000000e+04 6.3888677055e+01 4.3625347614e-01 9.4209387455e-01 3.4114532264e+04 1.9474040565e-01 4.5262097403e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0750000000e-01 3.4166557030e+00 5.0161476949e+00 1.4857000000e+04 6.3888677055e+01 4.3605937417e-01 9.4164153339e-01 3.4148175787e+04 1.9355082865e-01 4.5198143143e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0800000000e-01 3.4158998804e+00 5.0149445607e+00 1.4857000000e+04 6.3888677055e+01 4.3586646178e-01 9.4118983171e-01 3.4181819310e+04 1.9236125165e-01 4.5134188882e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0850000000e-01 3.4151485518e+00 5.0137428420e+00 1.4857000000e+04 6.3888677055e+01 4.3567473895e-01 9.4073876951e-01 3.4215462833e+04 1.9117167465e-01 4.5070234621e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0900000000e-01 3.4144017201e+00 5.0125425399e+00 1.4857000000e+04 6.3888677055e+01 4.3548420569e-01 9.4028834679e-01 3.4249106356e+04 1.8998209765e-01 4.5006280360e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0950000000e-01 3.4136593882e+00 5.0113436553e+00 1.4857000000e+04 6.3888677055e+01 4.3529486200e-01 9.3983856356e-01 3.4282749879e+04 1.8879252065e-01 4.4942326099e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1000000000e-01 3.4129215591e+00 5.0101461893e+00 1.4857000000e+04 6.3888677055e+01 4.3510670788e-01 9.3938941980e-01 3.4316393402e+04 1.8760294365e-01 4.4878371839e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1050000000e-01 3.4121882357e+00 5.0089501429e+00 1.4857000000e+04 6.3888677055e+01 4.3491974332e-01 9.3894091553e-01 3.4350036925e+04 1.8641336665e-01 4.4814417578e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1100000000e-01 3.4114594209e+00 5.0077555170e+00 1.4857000000e+04 6.3888677055e+01 4.3473396834e-01 9.3849305073e-01 3.4383680448e+04 1.8522378964e-01 4.4750463317e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1150000000e-01 3.4107351176e+00 5.0065623128e+00 1.4857000000e+04 6.3888677055e+01 4.3454938292e-01 9.3804582542e-01 3.4417323971e+04 1.8403421264e-01 4.4686509056e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1200000000e-01 3.4100153287e+00 5.0053705312e+00 1.4857000000e+04 6.3888677055e+01 4.3436598708e-01 9.3759923959e-01 3.4450967494e+04 1.8284463564e-01 4.4622554796e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1250000000e-01 3.4093000570e+00 5.0041801733e+00 1.4857000000e+04 6.3888677055e+01 4.3418378080e-01 9.3715329323e-01 3.4484611017e+04 1.8165505864e-01 4.4558600535e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1300000000e-01 3.4085893053e+00 5.0029912400e+00 1.4857000000e+04 6.3888677055e+01 4.3400276409e-01 9.3670798636e-01 3.4518254540e+04 1.8046548164e-01 4.4494646274e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1350000000e-01 3.4078830766e+00 5.0018037324e+00 1.4857000000e+04 6.3888677055e+01 4.3382293694e-01 9.3626331897e-01 3.4551898063e+04 1.7927590464e-01 4.4430692013e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1400000000e-01 3.4071813736e+00 5.0006176515e+00 1.4857000000e+04 6.3888677055e+01 4.3364429937e-01 9.3581929106e-01 3.4585541586e+04 1.7808632764e-01 4.4366737752e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1450000000e-01 3.4064841992e+00 4.9994329983e+00 1.4857000000e+04 6.3888677055e+01 4.3346685137e-01 9.3537590263e-01 3.4619185108e+04 1.7689675064e-01 4.4302783492e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1500000000e-01 3.4057915560e+00 4.9982497739e+00 1.4857000000e+04 6.3888677055e+01 4.3329059293e-01 9.3493315369e-01 3.4652828631e+04 1.7570717364e-01 4.4238829231e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1550000000e-01 3.4051034468e+00 4.9970679791e+00 1.4857000000e+04 6.3888677055e+01 4.3311552406e-01 9.3449104422e-01 3.4686472154e+04 1.7451759664e-01 4.4174874970e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1600000000e-01 3.4044198745e+00 4.9958876152e+00 1.4857000000e+04 6.3888677055e+01 4.3294164476e-01 9.3404957423e-01 3.4720115677e+04 1.7332801964e-01 4.4110920709e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1650000000e-01 3.4037408418e+00 4.9947086830e+00 1.4857000000e+04 6.3888677055e+01 4.3276895503e-01 9.3360874373e-01 3.4753759200e+04 1.7213844264e-01 4.4046966448e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1700000000e-01 3.4030663512e+00 4.9935311836e+00 1.4857000000e+04 6.3888677055e+01 4.3259745487e-01 9.3316855270e-01 3.4787402723e+04 1.7094886564e-01 4.3983012188e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1750000000e-01 3.4023964057e+00 4.9923551180e+00 1.4857000000e+04 6.3888677055e+01 4.3242714428e-01 9.3272900116e-01 3.4821046246e+04 1.6975928864e-01 4.3919057927e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1800000000e-01 3.4017310078e+00 4.9911804872e+00 1.4857000000e+04 6.3888677055e+01 4.3225802325e-01 9.3229008910e-01 3.4854689769e+04 1.6856971164e-01 4.3855103666e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1850000000e-01 3.4010701602e+00 4.9900072922e+00 1.4857000000e+04 6.3888677055e+01 4.3209009179e-01 9.3185181651e-01 3.4888333292e+04 1.6738013464e-01 4.3791149405e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1900000000e-01 3.4004138655e+00 4.9888355341e+00 1.4857000000e+04 6.3888677055e+01 4.3192334991e-01 9.3141418341e-01 3.4921976815e+04 1.6619055764e-01 4.3727195145e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1950000000e-01 3.3997621265e+00 4.9876652138e+00 1.4857000000e+04 6.3888677055e+01 4.3175779759e-01 9.3097718979e-01 3.4955620338e+04 1.6500098064e-01 4.3663240884e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2000000000e-01 3.3991149457e+00 4.9864963324e+00 1.4857000000e+04 6.3888677055e+01 4.3159343484e-01 9.3054083565e-01 3.4989263861e+04 1.6381140364e-01 4.3599286623e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2050000000e-01 3.3984723258e+00 4.9853288909e+00 1.4857000000e+04 6.3888677055e+01 4.3143026165e-01 9.3010512099e-01 3.5022907384e+04 1.6262182664e-01 4.3535332362e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2100000000e-01 3.3978342692e+00 4.9841628902e+00 1.4857000000e+04 6.3888677055e+01 4.3126827804e-01 9.2967004581e-01 3.5056550907e+04 1.6143224964e-01 4.3471378101e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2150000000e-01 3.3972007786e+00 4.9829983315e+00 1.4857000000e+04 6.3888677055e+01 4.3110748400e-01 9.2923561012e-01 3.5090194430e+04 1.6024267264e-01 4.3407423841e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2200000000e-01 3.3965718566e+00 4.9818352156e+00 1.4857000000e+04 6.3888677055e+01 4.3094787952e-01 9.2880181390e-01 3.5123837953e+04 1.5905309564e-01 4.3343469580e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2250000000e-01 3.3959475057e+00 4.9806735437e+00 1.4857000000e+04 6.3888677055e+01 4.3078946461e-01 9.2836865716e-01 3.5157481476e+04 1.5786351864e-01 4.3279515319e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2300000000e-01 3.3953277284e+00 4.9795133167e+00 1.4857000000e+04 6.3888677055e+01 4.3063223927e-01 9.2793613991e-01 3.5191124998e+04 1.5667394164e-01 4.3215561058e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2350000000e-01 3.3947125271e+00 4.9783545357e+00 1.4857000000e+04 6.3888677055e+01 4.3047620350e-01 9.2750426213e-01 3.5224768521e+04 1.5548436464e-01 4.3151606797e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2400000000e-01 3.3941019045e+00 4.9771972016e+00 1.4857000000e+04 6.3888677055e+01 4.3032135730e-01 9.2707302384e-01 3.5258412044e+04 1.5429478764e-01 4.3087652537e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2450000000e-01 3.3934958629e+00 4.9760413154e+00 1.4857000000e+04 6.3888677055e+01 4.3016770066e-01 9.2664242503e-01 3.5292055567e+04 1.5310521064e-01 4.3023698276e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2500000000e-01 3.3928944049e+00 4.9748868783e+00 1.4857000000e+04 6.3888677055e+01 4.3001523360e-01 9.2621246570e-01 3.5325699090e+04 1.5191563364e-01 4.2959744015e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2550000000e-01 3.3922975328e+00 4.9737338911e+00 1.4857000000e+04 6.3888677055e+01 4.2986395610e-01 9.2578314584e-01 3.5359342613e+04 1.5072605664e-01 4.2895789754e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2600000000e-01 3.3917052491e+00 4.9725823549e+00 1.4857000000e+04 6.3888677055e+01 4.2971386817e-01 9.2535446547e-01 3.5392986136e+04 1.4953647964e-01 4.2831835494e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2650000000e-01 3.3911175562e+00 4.9714322707e+00 1.4857000000e+04 6.3888677055e+01 4.2956496981e-01 9.2492642458e-01 3.5426629659e+04 1.4834690264e-01 4.2767881233e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2700000000e-01 3.3905344565e+00 4.9702836395e+00 1.4857000000e+04 6.3888677055e+01 4.2941726102e-01 9.2449902318e-01 3.5460273182e+04 1.4715732564e-01 4.2703926972e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2750000000e-01 3.3899559523e+00 4.9691364623e+00 1.4857000000e+04 6.3888677055e+01 4.2927074180e-01 9.2407226125e-01 3.5493916705e+04 1.4596774864e-01 4.2639972711e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2800000000e-01 3.3893820460e+00 4.9679907402e+00 1.4857000000e+04 6.3888677055e+01 4.2912541214e-01 9.2364613880e-01 3.5527560228e+04 1.4477817164e-01 4.2576018450e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2850000000e-01 3.3888127400e+00 4.9668464740e+00 1.4857000000e+04 6.3888677055e+01 4.2898127206e-01 9.2322065583e-01 3.5561203751e+04 1.4358859464e-01 4.2512064190e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2900000000e-01 3.3882480364e+00 4.9657036649e+00 1.4857000000e+04 6.3888677055e+01 4.2883832154e-01 9.2279581235e-01 3.5594847274e+04 1.4239901764e-01 4.2448109929e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.2950000000e-01 3.3876879378e+00 4.9645623139e+00 1.4857000000e+04 6.3888677055e+01 4.2869656059e-01 9.2237160834e-01 3.5628490797e+04 1.4120944064e-01 4.2384155668e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3000000000e-01 3.3871324463e+00 4.9634224219e+00 1.4857000000e+04 6.3888677055e+01 4.2855598921e-01 9.2194804382e-01 3.5662134320e+04 1.4001986364e-01 4.2320201407e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3050000000e-01 3.3865815642e+00 4.9622839899e+00 1.4857000000e+04 6.3888677055e+01 4.2841660740e-01 9.2152511878e-01 3.5695777843e+04 1.3883028664e-01 4.2256247146e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3100000000e-01 3.3860352937e+00 4.9611470190e+00 1.4857000000e+04 6.3888677055e+01 4.2827841516e-01 9.2110283322e-01 3.5729421366e+04 1.3764070964e-01 4.2192292886e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3150000000e-01 3.3854936371e+00 4.9600115101e+00 1.4857000000e+04 6.3888677055e+01 4.2814141248e-01 9.2068118713e-01 3.5763064889e+04 1.3645113264e-01 4.2128338625e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3200000000e-01 3.3849565967e+00 4.9588774643e+00 1.4857000000e+04 6.3888677055e+01 4.2800559938e-01 9.2026018053e-01 3.5796708411e+04 1.3526155564e-01 4.2064384364e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3250000000e-01 3.3844241745e+00 4.9577448826e+00 1.4857000000e+04 6.3888677055e+01 4.2787097584e-01 9.1983981341e-01 3.5830351934e+04 1.3407197864e-01 4.2000430103e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3300000000e-01 3.3838963728e+00 4.9566137660e+00 1.4857000000e+04 6.3888677055e+01 4.2773754187e-01 9.1942008577e-01 3.5863995457e+04 1.3288240164e-01 4.1936475843e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3350000000e-01 3.3833731938e+00 4.9554841154e+00 1.4857000000e+04 6.3888677055e+01 4.2760529747e-01 9.1900099762e-01 3.5897638980e+04 1.3169282464e-01 4.1872521582e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3400000000e-01 3.3828546395e+00 4.9543559319e+00 1.4857000000e+04 6.3888677055e+01 4.2747424264e-01 9.1858254894e-01 3.5931282503e+04 1.3050324764e-01 4.1808567321e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3450000000e-01 3.3823407121e+00 4.9532292165e+00 1.4857000000e+04 6.3888677055e+01 4.2734437738e-01 9.1816473974e-01 3.5964926026e+04 1.2931367064e-01 4.1744613060e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3500000000e-01 3.3818314138e+00 4.9521039702e+00 1.4857000000e+04 6.3888677055e+01 4.2721570168e-01 9.1774757003e-01 3.5998569549e+04 1.2812409364e-01 4.1680658799e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3550000000e-01 3.3813267466e+00 4.9509801939e+00 1.4857000000e+04 6.3888677055e+01 4.2708821556e-01 9.1733103979e-01 3.6032213072e+04 1.2693451663e-01 4.1616704539e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3600000000e-01 3.3808267126e+00 4.9498578888e+00 1.4857000000e+04 6.3888677055e+01 4.2696191900e-01 9.1691514904e-01 3.6065856595e+04 1.2574493963e-01 4.1552750278e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3650000000e-01 3.3803313138e+00 4.9487370557e+00 1.4857000000e+04 6.3888677055e+01 4.2683681201e-01 9.1649989776e-01 3.6099500118e+04 1.2455536263e-01 4.1488796017e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3700000000e-01 3.3798405523e+00 4.9476176957e+00 1.4857000000e+04 6.3888677055e+01 4.2671289459e-01 9.1608528597e-01 3.6133143641e+04 1.2336578563e-01 4.1424841756e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3750000000e-01 3.3793544301e+00 4.9464998098e+00 1.4857000000e+04 6.3888677055e+01 4.2659016674e-01 9.1567131366e-01 3.6166787164e+04 1.2217620863e-01 4.1360887495e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3800000000e-01 3.3788729492e+00 4.9453833990e+00 1.4857000000e+04 6.3888677055e+01 4.2646862845e-01 9.1525798083e-01 3.6200430687e+04 1.2098663163e-01 4.1296933235e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3850000000e-01 3.3783961116e+00 4.9442684643e+00 1.4857000000e+04 6.3888677055e+01 4.2634827974e-01 9.1484528748e-01 3.6234074210e+04 1.1979705463e-01 4.1232978974e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3900000000e-01 3.3779239193e+00 4.9431550066e+00 1.4857000000e+04 6.3888677055e+01 4.2622912059e-01 9.1443323361e-01 3.6267717733e+04 1.1860747763e-01 4.1169024713e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3950000000e-01 3.3774563741e+00 4.9420430271e+00 1.4857000000e+04 6.3888677055e+01 4.2611115101e-01 9.1402181922e-01 3.6301361256e+04 1.1741790063e-01 4.1105070452e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4000000000e-01 3.3769934781e+00 4.9409325266e+00 1.4857000000e+04 6.3888677055e+01 4.2599437101e-01 9.1361104431e-01 3.6335004779e+04 1.1622832363e-01 4.1041116191e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4050000000e-01 3.3765352332e+00 4.9398235062e+00 1.4857000000e+04 6.3888677055e+01 4.2587878056e-01 9.1320090888e-01 3.6368648301e+04 1.1503874663e-01 4.0977161931e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4100000000e-01 3.3760816412e+00 4.9387159669e+00 1.4857000000e+04 6.3888677055e+01 4.2576437969e-01 9.1279141294e-01 3.6402291824e+04 1.1384916963e-01 4.0913207670e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4150000000e-01 3.3756327040e+00 4.9376099096e+00 1.4857000000e+04 6.3888677055e+01 4.2565116839e-01 9.1238255647e-01 3.6435935347e+04 1.1265959263e-01 4.0849253409e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4200000000e-01 3.3751884234e+00 4.9365053354e+00 1.4857000000e+04 6.3888677055e+01 4.2553914665e-01 9.1197433949e-01 3.6469578870e+04 1.1147001563e-01 4.0785299148e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4250000000e-01 3.3747488014e+00 4.9354022453e+00 1.4857000000e+04 6.3888677055e+01 4.2542831449e-01 9.1156676198e-01 3.6503222393e+04 1.1028043863e-01 4.0721344888e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4300000000e-01 3.3743138398e+00 4.9343006402e+00 1.4857000000e+04 6.3888677055e+01 4.2531867189e-01 9.1115982396e-01 3.6536865916e+04 1.0909086163e-01 4.0657390627e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4350000000e-01 3.3738835402e+00 4.9332005212e+00 1.4857000000e+04 6.3888677055e+01 4.2521021886e-01 9.1075352542e-01 3.6570509439e+04 1.0790128463e-01 4.0593436366e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4400000000e-01 3.3734579046e+00 4.9321018893e+00 1.4857000000e+04 6.3888677055e+01 4.2510295540e-01 9.1034786636e-01 3.6604152962e+04 1.0671170763e-01 4.0529482105e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4450000000e-01 3.3730369347e+00 4.9310047454e+00 1.4857000000e+04 6.3888677055e+01 4.2499688151e-01 9.0994284678e-01 3.6637796485e+04 1.0552213063e-01 4.0465527844e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4500000000e-01 3.3726206322e+00 4.9299090905e+00 1.4857000000e+04 6.3888677055e+01 4.2489199718e-01 9.0953846668e-01 3.6671440008e+04 1.0433255363e-01 4.0401573584e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4550000000e-01 3.3722089988e+00 4.9288149257e+00 1.4857000000e+04 6.3888677055e+01 4.2478830243e-01 9.0913472606e-01 3.6705083531e+04 1.0314297663e-01 4.0337619323e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4600000000e-01 3.3718020363e+00 4.9277222518e+00 1.4857000000e+04 6.3888677055e+01 4.2468579724e-01 9.0873162492e-01 3.6738727054e+04 1.0195339963e-01 4.0273665062e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4650000000e-01 3.3713997464e+00 4.9266310700e+00 1.4857000000e+04 6.3888677055e+01 4.2458448162e-01 9.0832916326e-01 3.6772370577e+04 1.0076382263e-01 4.0209710801e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4700000000e-01 3.3710021308e+00 4.9255413812e+00 1.4857000000e+04 6.3888677055e+01 4.2448435557e-01 9.0792734108e-01 3.6806014100e+04 9.9574245630e-02 4.0145756540e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4750000000e-01 3.3706091910e+00 4.9244531864e+00 1.4857000000e+04 6.3888677055e+01 4.2438541909e-01 9.0752615839e-01 3.6839657623e+04 9.8384668630e-02 4.0081802280e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4800000000e-01 3.3702209287e+00 4.9233664866e+00 1.4857000000e+04 6.3888677055e+01 4.2428767218e-01 9.0712561517e-01 3.6873301146e+04 9.7195091630e-02 4.0017848019e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4850000000e-01 3.3698373456e+00 4.9222812827e+00 1.4857000000e+04 6.3888677055e+01 4.2419111484e-01 9.0672571144e-01 3.6906944669e+04 9.6005514629e-02 3.9953893758e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4900000000e-01 3.3694584432e+00 4.9211975759e+00 1.4857000000e+04 6.3888677055e+01 4.2409574706e-01 9.0632644719e-01 3.6940588192e+04 9.4815937629e-02 3.9889939497e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.4950000000e-01 3.3690842232e+00 4.9201153669e+00 1.4857000000e+04 6.3888677055e+01 4.2400156885e-01 9.0592782241e-01 3.6974231714e+04 9.3626360629e-02 3.9825985237e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5000000000e-01 3.3687146870e+00 4.9190346570e+00 1.4857000000e+04 6.3888677055e+01 4.2390858022e-01 9.0552983712e-01 3.7007875237e+04 9.2436783629e-02 3.9762030976e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5050000000e-01 3.3683498363e+00 4.9179554469e+00 1.4857000000e+04 6.3888677055e+01 4.2381678115e-01 9.0513249131e-01 3.7041518760e+04 9.1247206629e-02 3.9698076715e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5100000000e-01 3.3679896725e+00 4.9168777378e+00 1.4857000000e+04 6.3888677055e+01 4.2372617164e-01 9.0473578498e-01 3.7075162283e+04 9.0057629628e-02 3.9634122454e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5150000000e-01 3.3676341971e+00 4.9158015306e+00 1.4857000000e+04 6.3888677055e+01 4.2363675171e-01 9.0433971813e-01 3.7108805806e+04 8.8868052628e-02 3.9570168193e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5200000000e-01 3.3672834117e+00 4.9147268263e+00 1.4857000000e+04 6.3888677055e+01 4.2354852135e-01 9.0394429076e-01 3.7142449329e+04 8.7678475628e-02 3.9506213933e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
