# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] mean_pz[MeV/c] emitt_ emitt_y 
4.9379648217e-03 5.7412846131e+00 6.7774012324e+00 0.0000000000e+00 6.3885551769e+01 1.2333768827e+00 1.7189613304e+00 6.1236703938e-08 8.9037657523e-02 7.0052672938e-02 -5.1532541264e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
5.2465876231e-03 5.7392856673e+00 6.7760688524e+00 0.0000000000e+00 6.3885551769e+01 1.2325200014e+00 1.7182845317e+00 6.5060139067e-08 8.8990586703e-02 7.0027407550e-02 -5.1535713153e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
5.5552104244e-03 5.7372870827e+00 6.7747366911e+00 0.0000000000e+00 6.3885551769e+01 1.2316635726e+00 1.7176079771e+00 6.8890141883e-08 8.8943515884e-02 7.0002142161e-02 -5.1533414931e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
5.8638332258e-03 5.7352888595e+00 6.7734047487e+00 0.0000000000e+00 6.3885551769e+01 1.2308075961e+00 1.7169316666e+00 7.2714787732e-08 8.8896445064e-02 6.9976876773e-02 -5.1535276799e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
6.1724560272e-03 5.7332909982e+00 6.7720730252e+00 0.0000000000e+00 6.3885551769e+01 1.2299520719e+00 1.7162556004e+00 7.6543454853e-08 8.8849374245e-02 6.9951611385e-02 -5.1534168599e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
6.4810788285e-03 5.7312934992e+00 6.7707415209e+00 0.0000000000e+00 6.3885551769e+01 1.2290970001e+00 1.7155797783e+00 8.0375358587e-08 8.8802303425e-02 6.9926345997e-02 -5.1531110244e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
6.7897016299e-03 5.7292963629e+00 6.7694102358e+00 0.0000000000e+00 6.3885551769e+01 1.2282423807e+00 1.7149042004e+00 8.4199181597e-08 8.8755232606e-02 6.9901080609e-02 -5.1533358308e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
7.0983244312e-03 5.7272995896e+00 6.7680791701e+00 0.0000000000e+00 6.3885551769e+01 1.2273882136e+00 1.7142288666e+00 8.8025357099e-08 8.8708161786e-02 6.9875815220e-02 -5.1534013638e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
7.4069472326e-03 5.7253031797e+00 6.7667483239e+00 0.0000000000e+00 6.3885551769e+01 1.2265344989e+00 1.7135537771e+00 9.1849677358e-08 8.8661090967e-02 6.9850549832e-02 -5.1535597565e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
7.7155700340e-03 5.7233071336e+00 6.7654176974e+00 0.0000000000e+00 6.3885551769e+01 1.2256812366e+00 1.7128789317e+00 9.5682309065e-08 8.8614020147e-02 6.9825284444e-02 -5.1532563790e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
