 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
    0.306779778702561E-01	    0.243919606148722E-01	   -0.366582562052742E-01	    0.405691469511716E-01	    0.634593792579018E+02	    0.181835929348395E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.699807085414507E-01	   -0.529208647441107E-01	    0.695311887178230E-02	    0.231293453197983E-01	    0.283635895543228E+02	    0.182538350975037E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.666896438894165E-01	    0.356856627993519E-01	    0.929282508945114E-02	   -0.629151632429836E-02	   -0.265173772163305E+02	    0.182756470922030E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.181115316031629E-01	    0.506345199514113E-01	   -0.465210945017891E-01	   -0.272546928473540E-01	    0.312581767592104E+02	    0.182431917508552E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.438423720076872E-01	    0.749353610147264E-01	   -0.394128845636268E-01	   -0.391910769635747E-01	    0.243013776762886E+02	    0.182597337444079E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.876243327964041E-01	    0.687326910375932E-01	   -0.905200392711955E-02	   -0.769465401221656E-01	   -0.400384388686306E+02	    0.183120848888052E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.985394894858764E-01	    0.299077873993416E-01	   -0.302889215983605E-01	    0.111437618487444E-01	    0.591647084368494E+02	    0.181864534843257E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.186648882464757E-01	    0.693967735662298E-01	    0.968874379470348E-02	   -0.435032211278122E-02	   -0.153329866690031E+02	    0.182596018433401E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.961155026960394E-02	   -0.674496685540763E-01	    0.456833776878956E-01	    0.464788287707658E-01	   -0.405599452629279E+01	    0.182575328814494E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.206519605884136E-02	    0.477521012663708E-01	   -0.428226066658176E-01	   -0.252773088796484E-01	    0.216806029813702E+02	    0.182675364948537E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.798228635635687E-01	    0.261897548920387E-01	    0.100469653866141E-01	   -0.129327311199973E-01	   -0.327882489679010E+02	    0.182907718462744E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.240685001678924E-01	    0.795526525600584E-01	   -0.284068011215454E-02	   -0.639075971406017E-02	   -0.861434701718133E+01	    0.182572355711841E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.992176300090887E-01	   -0.350269394083311E-01	    0.838382682534436E-02	    0.604529708275267E-01	    0.661282457327133E+02	    0.181982573309369E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.986116422277903E-01	    0.319081351162397E-01	    0.115734143035386E-01	   -0.305079459706555E-01	   -0.453657198104708E+02	    0.183287308134439E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.436982863220636E-01	    0.413379972407219E-01	   -0.448130461153474E-01	   -0.229281390277688E-01	    0.415646177334491E+02	    0.182084908013636E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.990192855420902E-01	    0.285645797843819E-01	    0.120527750044064E-01	   -0.514604840084138E-01	   -0.509580742579415E+02	    0.183335667076179E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.675676890032946E-01	    0.861978776326883E-01	   -0.281709129992721E-01	   -0.855111746146351E-01	   -0.240473155511711E+02	    0.182890133070046E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.349699051730112E-01	    0.683577327150337E-01	   -0.327141546597729E-01	   -0.350875512486791E-01	    0.174817839853302E+02	    0.182705567405961E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.702713235564674E-01	   -0.606544165380948E-01	    0.394265501560642E-01	    0.210960485279375E-01	   -0.409814354084021E+02	    0.183199403300804E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.468880334066215E-02	   -0.612152401893868E-01	    0.457777239866040E-01	    0.284950266265710E-01	   -0.146007740656071E+02	    0.182575962799802E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.756795453812986E-01	    0.369839937809378E-01	    0.161088511904955E-01	   -0.115486370195626E-01	   -0.384365007382680E+02	    0.183132624901106E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.372462593457624E-01	   -0.328501255600113E-01	    0.395328431482870E-01	    0.243755721957409E-01	   -0.373220556985163E+02	    0.183129933036597E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.275622851263645E-01	   -0.495689649021390E-01	   -0.191342118162481E-01	    0.681158020154908E-02	    0.321145577190668E+02	    0.182413111174284E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.330283102042095E-01	    0.330727205274652E-01	   -0.251233371688877E-01	    0.993679959200895E-02	    0.969930938817378E+01	    0.182724520758626E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.768114465072704E-01	   -0.481511998376773E-01	    0.945927803719469E-02	    0.331323922090627E-01	    0.342087250548687E+02	    0.182396402633955E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.555666185524704E-02	    0.817333516991193E-01	   -0.359735522354895E-01	   -0.594052059972167E-01	    0.583945763631101E+01	    0.182630695091390E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.449979562361454E-02	   -0.682845936883503E-01	    0.460305987829475E-01	    0.493117640728508E-01	   -0.536653564000655E+01	    0.182596185252848E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.832310055465794E-01	   -0.375054381379434E-01	    0.383161883629514E-02	    0.353081308626560E-01	    0.447656261469812E+02	    0.182127017502864E+00	    0.600000000000000E+01	    0.111748622150701E+02
