position	gam-1	centroid position(x,x',y,y',z,dp/p,z',phase,time,energy)	rms_size(x,x',y,y',z,dp/p,z',phase,time,energy)	(dispX,dispY,betX,betY)	unit(m,rad,deg,s,MeV)
+2.750000e-002	+1.634283e-005	-3.100890e-005	-2.385684e-004	+9.220682e-005	-8.474156e-005	-2.570375e-004	-2.128600e-007	+2.128531e-007	+4.046364e+001	+1.499693e-010	+7.774814e-008	+5.597521e-003	+7.891401e-003	+6.681834e-003	+5.762451e-003	+1.146485e-002	+1.711418e-005	+1.711362e-005	+1.804832e+003	+6.689202e-009	+6.251035e-006	+3.531343e+000	-6.236277e-001	+1.170634e+000	+1.670836e+000
+3.000000e-002	+1.634283e-005	-3.160532e-005	-2.385807e-004	+9.199497e-005	-8.477923e-005	-2.571575e-004	-3.216391e-007	+3.216286e-007	+4.048253e+001	+1.500393e-010	+1.174802e-007	+5.581829e-003	+7.883359e-003	+6.671434e-003	+5.754841e-003	+1.146486e-002	+1.715582e-005	+1.715526e-005	+1.804834e+003	+6.689209e-009	+6.266244e-006	+3.483661e+000	-6.053393e-001	+1.164070e+000	+1.665635e+000
+3.250000e-002	+1.634283e-005	-3.220182e-005	-2.385993e-004	+9.178294e-005	-8.481081e-005	-2.572774e-004	-4.305744e-007	+4.305604e-007	+4.050142e+001	+1.501093e-010	+1.572693e-007	+5.566239e-003	+7.875304e-003	+6.661112e-003	+5.747222e-003	+1.146486e-002	+1.720465e-005	+1.720408e-005	+1.804835e+003	+6.689212e-009	+6.284078e-006	+3.439291e+000	-5.789194e-001	+1.157586e+000	+1.660489e+000
+3.500000e-002	+1.634282e-005	-3.279832e-005	-2.386178e-004	+9.157091e-005	-8.484239e-005	-2.573974e-004	-5.395098e-007	+5.394921e-007	+4.052031e+001	+1.501794e-010	+1.970584e-007	+5.550650e-003	+7.867248e-003	+6.650790e-003	+5.739604e-003	+1.146487e-002	+1.725347e-005	+1.725291e-005	+1.804836e+003	+6.689216e-009	+6.301911e-006	+3.394920e+000	-5.524994e-001	+1.151102e+000	+1.655342e+000
+3.750000e-002	+1.634282e-005	-3.339488e-005	-2.386231e-004	+9.135871e-005	-8.488029e-005	-2.575174e-004	-6.486285e-007	+6.486073e-007	+4.053920e+001	+1.502494e-010	+2.369145e-007	+5.535164e-003	+7.859182e-003	+6.640546e-003	+5.731976e-003	+1.146488e-002	+1.731001e-005	+1.730944e-005	+1.804837e+003	+6.689220e-009	+6.322558e-006	+3.340787e+000	-5.213447e-001	+1.144697e+000	+1.650251e+000
+4.000000e-002	+1.634282e-005	-3.399144e-005	-2.386284e-004	+9.114652e-005	-8.491819e-005	-2.576373e-004	-7.577473e-007	+7.577225e-007	+4.055809e+001	+1.503194e-010	+2.767706e-007	+5.519678e-003	+7.851116e-003	+6.630303e-003	+5.724348e-003	+1.146488e-002	+1.736654e-005	+1.736597e-005	+1.804838e+003	+6.689223e-009	+6.343206e-006	+3.286654e+000	-4.901899e-001	+1.138292e+000	+1.645160e+000
+4.250000e-002	+1.634281e-005	-3.458801e-005	-2.386274e-004	+9.093412e-005	-8.495975e-005	-2.577573e-004	-8.666588e-007	+8.666305e-007	+4.057699e+001	+1.503894e-010	+3.165509e-007	+5.504298e-003	+7.843045e-003	+6.620139e-003	+5.716720e-003	+1.146489e-002	+1.743039e-005	+1.742982e-005	+1.804839e+003	+6.689227e-009	+6.366527e-006	+3.221483e+000	-4.514644e-001	+1.131966e+000	+1.640123e+000
+4.500000e-002	+1.634281e-005	-3.518459e-005	-2.386265e-004	+9.072171e-005	-8.500131e-005	-2.578773e-004	-9.755704e-007	+9.755385e-007	+4.059588e+001	+1.504594e-010	+3.563313e-007	+5.488918e-003	+7.834972e-003	+6.609975e-003	+5.709091e-003	+1.146489e-002	+1.749425e-005	+1.749367e-005	+1.804840e+003	+6.689231e-009	+6.389848e-006	+3.156311e+000	-4.127389e-001	+1.125640e+000	+1.635087e+000
+4.750000e-002	+1.634280e-005	-3.578116e-005	-2.386274e-004	+9.050911e-005	-8.503980e-005	-2.579973e-004	-1.084152e-006	+1.084117e-006	+4.061477e+001	+1.505295e-010	+3.959912e-007	+5.473644e-003	+7.826902e-003	+6.599891e-003	+5.701466e-003	+1.146489e-002	+1.756443e-005	+1.756386e-005	+1.804841e+003	+6.689234e-009	+6.415482e-006	+3.090969e+000	-3.854758e-001	+1.119393e+000	+1.630105e+000
+5.000000e-002	+1.634280e-005	-3.637772e-005	-2.386283e-004	+9.029650e-005	-8.507829e-005	-2.581173e-004	-1.192735e-006	+1.192696e-006	+4.063367e+001	+1.505995e-010	+4.356512e-007	+5.458370e-003	+7.818832e-003	+6.589806e-003	+5.693842e-003	+1.146490e-002	+1.763462e-005	+1.763404e-005	+1.804842e+003	+6.689238e-009	+6.441116e-006	+3.025626e+000	-3.582128e-001	+1.113145e+000	+1.625123e+000
+5.250000e-002	+1.634280e-005	-3.697428e-005	-2.386252e-004	+9.008371e-005	-8.511548e-005	-2.582373e-004	-1.301008e-006	+1.300965e-006	+4.065257e+001	+1.506695e-010	+4.751982e-007	+5.443204e-003	+7.810751e-003	+6.579801e-003	+5.686224e-003	+1.146490e-002	+1.771072e-005	+1.771014e-005	+1.804843e+003	+6.689242e-009	+6.468913e-006	+2.957910e+000	-3.343701e-001	+1.106976e+000	+1.620196e+000
+5.500000e-002	+1.634279e-005	-3.757085e-005	-2.386221e-004	+8.987092e-005	-8.515267e-005	-2.583574e-004	-1.409280e-006	+1.409234e-006	+4.067147e+001	+1.507396e-010	+5.147453e-007	+5.428037e-003	+7.802671e-003	+6.569797e-003	+5.678608e-003	+1.146491e-002	+1.778683e-005	+1.778625e-005	+1.804844e+003	+6.689245e-009	+6.496710e-006	+2.890193e+000	-3.105275e-001	+1.100807e+000	+1.615269e+000
