 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
   -0.314705605146391E+00	   -0.791095186941084E-02	    0.765710845627686E+00	    0.302647106016319E-02	    0.363509314165748E+02	    0.182623207441779E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.614248143701898E+00	    0.985363368891421E-02	   -0.926766528011435E+00	   -0.340486894694824E-02	   -0.346349101526708E+02	    0.182641684880025E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.578462987607727E+00	    0.140926379396204E-03	   -0.709065655068630E+00	   -0.110030250564005E-01	   -0.240891361959331E+02	    0.182625353208010E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.569453690194441E+00	   -0.915281697161254E-02	    0.624447385236485E+00	   -0.124977512152602E-02	    0.335438205670087E+02	    0.182625710834827E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.114608069991305E+01	    0.932932701908294E-02	   -0.130425221667761E+00	    0.737145897599201E-02	   -0.905950957443602E+01	    0.182625278700499E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.989970378770577E+00	    0.536464956604186E-02	    0.275220948262936E+00	    0.983235967012386E-02	    0.867438454238773E+01	    0.182630598416722E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.113772743520598E+01	   -0.776130462981519E-02	   -0.247416500196929E+00	   -0.101646037712481E-01	    0.157322981863328E+01	    0.182623877991617E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.857831453525377E+00	   -0.129084199572330E-01	    0.962086758614382E+00	    0.242551654244106E-02	    0.449058943967690E+02	    0.182627498976018E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.720936473059377E-01	   -0.374695578574892E-02	    0.310876949565349E+00	    0.111438234469186E-02	    0.265002610282212E+02	    0.182631224268093E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.838120317000049E+00	    0.457680049367491E-02	    0.304048083637412E-01	    0.737579800786714E-02	    0.730900592423308E+01	    0.182626530399688E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.588593519507357E+00	   -0.640070487128016E-03	   -0.269547927294994E+00	   -0.697761745525260E-02	   -0.200566173328695E+02	    0.182639196387058E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.705579030147838E+00	    0.124104242866510E-01	   -0.961509254536727E+00	   -0.272271264677603E-02	   -0.462303039019770E+02	    0.182628482452429E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.980065243384710E-01	   -0.582815277375039E-02	    0.958960321723348E+00	    0.111387351587627E-01	    0.409801319283084E+02	    0.182625859848073E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.206907170818103E+00	    0.387592484258357E-02	   -0.653758433376575E+00	   -0.668328971935172E-02	   -0.317614939316291E+02	    0.182628095023674E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.700040822782645E-01	    0.556628462873641E-02	   -0.703725444429224E+00	   -0.590803771612902E-02	   -0.365883006106701E+02	    0.182626590003565E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.482127588190688E+00	   -0.827401715645011E-03	    0.555114605641788E+00	    0.831204169096689E-02	    0.256185986581592E+02	    0.182627156247506E+00	    0.600000000000000E+01	    0.111748622150701E+02
