Code,Plane,N sin SC,N con SC,emit_90 sin SC [mm mrad],emit_90 con SC [mm mrad],Delta emit_90 [%],sigma_pos sin SC [mm],sigma_pos con SC [mm],sigma_div sin SC [mrad],sigma_div con SC [mrad]
OPAL,x-xp,14710,14203,178.54838458269654,169.5974846684517,-5.013150880734595,2.4020034030524284,2.360874791969517,52.475707462617656,50.185218797519894
RF-Track Volume,x-xp,14825,14623,198.22584656605102,193.34897479545822,-2.460260281429936,2.4297100566199834,2.277311581344308,47.987408915583146,45.5783332024382
TraceWin,x-xp,14861,13406,148.89283316463673,161.48166427944903,8.454961093320279,0.6997875446219896,0.8630232742020776,56.5286525360144,50.422200299873744
TRAVEL,x-xp,14867,14807,144.66300358666797,142.10414793957128,-1.768839014574777,0.6423732340733838,0.6622710453100497,59.60153524825909,57.32577960313489
