Code,Plane,N sin SC,N con SC,emit_90 sin SC [mm mrad],emit_90 con SC [mm mrad],Delta emit_90 [%],sigma_pos sin SC [mm],sigma_pos con SC [mm],sigma_div sin SC [mrad],sigma_div con SC [mrad]
OPAL,y-yp,14710,14203,123.78729742599134,116.42207803690759,-5.949899175630026,1.1150891280978072,1.1525832608723832,46.49619985955957,45.65811381029808
RF-Track Volume,y-yp,14825,14623,131.53743289383286,138.40064468533296,5.217687194062527,1.588657991325052,1.590624383082844,40.95507513266596,41.07635796122291
TraceWin,y-yp,14861,13406,46.30287269156427,47.55067733337674,2.69487521891877,0.46589937210707383,0.3511811517568165,45.05822940221821,41.50126246721006
TRAVEL,y-yp,14867,14807,47.76647905120056,48.2876794258289,1.0911425438531164,0.3748044191621164,0.33798100089139993,48.64156636009324,48.90386730666441
